iteration,timestamp,state_id,parent_id,operation,params,cost,score,file_ideality_score,entropy_global,lz77_ratio
1,2025-11-06T01:31:32.892550,4f7fa71c0c69bf3b...,0c15e883dee85bb2...,xor_constant,{'constant': 122},0.8400000000000001,-0.8400000000000001,0.0,0.0,0.0
2,2025-11-06T01:31:32.903544,cd2057659df244d5...,4f7fa71c0c69bf3b...,rotate_left,{'shift': 6},1.2600000000000002,-0.42000000000000015,0.0,0.0,0.0
3,2025-11-06T01:31:32.911540,45bdada25cc32b6c...,cd2057659df244d5...,rotate_left,{'shift': 6},1.3860000000000001,-0.1259999999999999,0.0,0.0,0.0
4,2025-11-06T01:31:32.918537,c014e5779f15c5fa...,45bdada25cc32b6c...,not_bytes,{},0.8400000000000001,0.546,0.0,0.0,0.0
5,2025-11-06T01:31:32.926533,0abda2a3f2e3a650...,c014e5779f15c5fa...,swap_nibbles,{},1.6800000000000002,-0.8400000000000001,0.0,0.0,0.0
6,2025-11-06T01:31:32.936526,c38a30641d07fcb4...,0abda2a3f2e3a650...,rotate_right,{'shift': 6},1.2600000000000002,0.41999999999999993,0.0,0.0,0.0
7,2025-11-06T01:31:32.947522,6f0e455cdc3abacd...,c38a30641d07fcb4...,not_bytes,{},0.8800000000000001,0.3800000000000001,0.0,0.0,0.0
8,2025-11-06T01:31:32.953520,c38a30641d07fcb4...,6f0e455cdc3abacd...,not_bytes,{},0.96,-0.07999999999999985,0.0,0.0,0.0
9,2025-11-06T01:31:32.960517,ee21ca7d1b24ebb4...,c38a30641d07fcb4...,swap_nibbles,{},1.8480000000000005,-0.8880000000000006,0.0,0.0,0.0
10,2025-11-06T01:31:32.970512,c38a30641d07fcb4...,ee21ca7d1b24ebb4...,swap_nibbles,{},2.016,-0.16799999999999948,0.0,0.0,0.0
11,2025-11-06T01:31:32.979506,0abda2a3f2e3a650...,c38a30641d07fcb4...,rotate_left,{'shift': 6},1.512,0.504,0.0,0.0,0.0
12,2025-11-06T01:31:32.986505,c014e5779f15c5fa...,0abda2a3f2e3a650...,swap_nibbles,{},2.1840000000000006,-0.6720000000000006,0.0,0.0,0.0
13,2025-11-06T01:31:32.993501,0abda2a3f2e3a650...,c014e5779f15c5fa...,swap_nibbles,{},2.352,-0.16799999999999926,0.0,0.0,0.0
14,2025-11-06T01:31:33.003495,3fd480e07975a073...,0abda2a3f2e3a650...,xor_constant,{'constant': 112},0.9240000000000003,1.4279999999999995,0.0,0.0,0.0
15,2025-11-06T01:31:33.014490,57a33d920e9ae5fe...,3fd480e07975a073...,rotate_left,{'shift': 7},1.5600000000000003,-0.636,0.0,0.0,0.0
